Transaction_ID,Transaction_Date,Product_ID,Product_Name,Category,Sub_Category,Product_Type,Region,Quantity_Sold,Unit_Price,Discount,Cost_per_Unit,Total_Sales,Profit,Inventory_Stock,Inventory_Days,Seasonality_Tag,Store_ID
T00154,2024-12-12,P1085,Two Women,Clothing,Women,Standard,North,8,233.51,35.78,164.63,1581.84,264.8,89,43,Summer,S296
T00155,2024-11-18,P9608,Whose Men,Clothing,Men,Standard,West,9,73.57,1.9,55.4,645.03,146.43,94,107,Winter,S598
T00156,2024-09-02,P9181,Range Fitness,Sports,Fitness,Budget,West,3,70.44,3.78,46.63,199.98,60.09,68,11,Spring,S849
T00157,2024-09-20,P6553,Important Laptops,Electronics,Laptops,Standard,South,4,346.97,47.09,255.24,1199.52,178.56,31,104,Summer,S985
T00158,2025-03-26,P6141,Really Accessories,Electronics,Accessories,Budget,South,5,174.04,19.24,105.53,774.0,246.35,50,82,Winter,S577
T00159,2024-08-10,P1889,Class Furniture,Home,Furniture,Premium,South,7,379.04,52.08,194.99,2288.72,923.79,12,95,Winter,S438
T00160,2024-12-08,P1305,Rock Fitness,Sports,Fitness,Budget,East,4,353.14,17.74,220.49,1341.6,459.64,68,68,Autumn,S919
T00161,2024-05-09,P6933,Lot Women,Clothing,Women,Premium,North,1,278.14,39.89,201.5,238.25,36.75,32,132,Spring,S231
T00162,2025-02-16,P9490,Bar Decor,Home,Decor,Premium,South,2,440.18,20.65,338.82,839.06,161.42,73,99,Spring,S315
T00163,2024-09-12,P6794,Single Outdoor,Sports,Outdoor,Premium,West,6,255.16,17.17,195.36,1427.94,255.78,75,167,Winter,S239
T00164,2024-05-22,P3444,Off Accessories,Electronics,Accessories,Standard,East,9,480.01,93.8,335.28,3475.89,458.37,23,130,Winter,S617
T00165,2024-08-22,P9016,Central Fitness,Sports,Fitness,Standard,West,8,248.99,37.6,131.72,1691.12,637.36,95,68,Autumn,S266
T00166,2024-08-06,P6866,Sound Appliances,Home,Appliances,Budget,East,2,116.51,1.64,58.87,229.74,112.0,74,117,Spring,S715
T00167,2024-11-08,P4503,He Furniture,Home,Furniture,Premium,South,7,45.84,8.03,32.85,264.67,34.72,85,133,Spring,S370
T00168,2024-12-27,P5100,Field Women,Clothing,Women,Budget,West,10,277.06,53.06,152.19,2240.0,718.1,22,127,Spring,S299
T00169,2025-01-21,P9357,Her Smartphones,Electronics,Smartphones,Budget,West,8,162.19,1.52,83.7,1285.36,615.76,100,29,Summer,S215
T00170,2024-12-20,P5692,Your Laptops,Electronics,Laptops,Premium,West,9,66.68,4.94,39.14,555.66,203.4,50,179,Spring,S516
T00171,2025-04-16,P3892,Property Smartphones,Electronics,Smartphones,Premium,East,10,219.76,36.11,151.83,1836.5,318.2,52,102,Spring,S803
T00172,2025-04-01,P6548,Pressure Decor,Home,Decor,Budget,East,9,210.63,13.4,152.77,1775.07,400.14,60,121,Summer,S488
T00173,2024-06-25,P7338,Senior Men,Clothing,Men,Standard,East,1,146.27,9.61,91.7,136.66,44.96,89,111,Autumn,S254
T00174,2024-09-02,P2088,Important Outdoor,Sports,Outdoor,Premium,North,2,461.98,3.69,288.24,916.58,340.1,45,26,Spring,S723
T00175,2025-02-19,P6124,Join Fitness,Sports,Fitness,Premium,South,3,274.79,22.07,152.37,758.16,301.05,88,125,Summer,S968
T00176,2025-03-22,P4612,Rather Women,Clothing,Women,Standard,North,1,180.86,28.6,136.57,152.26,15.69,22,32,Autumn,S497
T00177,2024-06-05,P6255,Ability Men,Clothing,Men,Standard,East,2,417.23,50.47,254.98,733.52,223.56,83,71,Summer,S663
T00178,2024-12-21,P4255,Dark Kids,Clothing,Kids,Budget,South,6,179.34,20.06,111.91,955.68,284.22,14,127,Summer,S506
T00179,2025-01-31,P5071,Good Women,Clothing,Women,Standard,East,7,139.68,16.22,82.39,864.22,287.49,13,50,Winter,S633
T00180,2024-07-06,P8163,Education Laptops,Electronics,Laptops,Premium,West,9,416.93,77.0,307.11,3059.37,295.38,98,36,Summer,S537
T00181,2024-07-30,P2267,Public Furniture,Home,Furniture,Standard,North,1,173.37,27.16,108.18,146.21,38.03,97,166,Summer,S468
T00182,2024-10-26,P5268,Human Decor,Home,Decor,Standard,North,2,405.07,19.78,319.51,770.58,131.56,6,175,Summer,S164
T00183,2025-02-04,P2597,Type Furniture,Home,Furniture,Premium,North,8,58.3,0.69,29.94,460.88,221.36,53,108,Spring,S778
T00184,2025-01-21,P5744,Out Smartphones,Electronics,Smartphones,Budget,West,2,165.4,24.11,120.24,282.58,42.1,96,8,Winter,S587
T00185,2025-04-09,P1727,Join Decor,Home,Decor,Standard,South,5,275.78,20.77,153.67,1275.05,506.7,9,167,Autumn,S462
T00186,2024-05-17,P8226,Interest Decor,Home,Decor,Standard,East,4,299.26,28.87,168.08,1081.56,409.24,99,130,Spring,S923
T00187,2025-04-08,P9737,Science Furniture,Home,Furniture,Budget,North,6,145.6,3.32,90.43,853.68,311.1,67,151,Winter,S257
T00188,2024-12-11,P4956,Kid Furniture,Home,Furniture,Premium,West,7,104.83,13.81,70.6,637.14,142.94,1,164,Spring,S141
T00189,2025-02-28,P6796,Recognize Smartphones,Electronics,Smartphones,Standard,West,9,258.88,20.33,169.77,2146.95,619.02,21,139,Autumn,S532
T00190,2025-02-04,P2736,Any Women,Clothing,Women,Standard,West,10,326.21,61.8,229.53,2644.1,348.8,63,50,Summer,S413
T00191,2024-07-08,P6005,Like Appliances,Home,Appliances,Standard,North,5,380.31,10.73,288.25,1847.9,406.65,58,27,Autumn,S529
T00192,2024-05-29,P6144,Event Kids,Clothing,Kids,Budget,South,7,313.9,18.96,203.59,2064.58,639.45,18,128,Autumn,S595
T00193,2025-02-01,P8071,Coach Laptops,Electronics,Laptops,Standard,South,5,348.39,19.99,253.35,1642.0,375.25,75,64,Winter,S495
